name,startDate,endDate,city,state,image,icon,website
JUNCTIONxBudapest,2018-10-19,2018-10-20,Budapest,Hungary,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/987/thumb/junctionxbudapest_background.png?1535543631,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/987/thumb/junctionxbudapest_logo.png?1535543630,http://budapest.hackjunction.com/
Hack.Moscow,2018-10-26,2018-10-28,Moscow,Russia,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/936/thumb/hack.moscow_background.png?1533768363,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/936/thumb/moscowlogo.png?1533768362,https://hack.moscow/
HackSheffield,2018-10-27,2018-10-28,Sheffield,UK,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/994/thumb/mlh-background-small.png?1536170403,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/994/thumb/logo.png?1536170403,http://hacksheffield.co
HackTheMidlands,2018-11-03,2018-11-04,Birmingham,UK,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/950/thumb/htm-square-background.png?1534953171,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/950/thumb/HTM_square.png?1534953170,http://hackthemidlands.co.uk
jacobsHack! 2018,2018-11-03,2018-11-04,Bremen,Germany,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/989/thumb/Bremen.jpg?1535644029,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/989/thumb/jacobshack-logo-only_2x.png?1535644029,https://jacobshack.com/
Thunderhack,2018-11-10,2018-11-11,Ljubljana,Slovenia,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/001/001/thumb/final300.png?1536849390,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/001/001/thumb/final.png?1536849390,https://thunderhack.si/
Junction 2018,2018-11-23,2018-11-25,Espoo,Finland,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/935/thumb/junction18_backgroundphoto.png?1533814679,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/935/thumb/splash.png?1533814679,https://hackjunction.com/
HackSussex,2019-11-10,2019-11-11,Brighton,UK,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/938/thumb/header.png?1533842559,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/938/thumb/ident.png?1533842559,https://hacksussex.co.uk/
