name,startDate,endDate,city,state,image,icon,website
Local Hack Day,2016-12-02,2016-12-02,Everywhere,Worldwide,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/805/thumb/lhdsplash.png?1510005117,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/805/thumb/lhdlogo.png?1510005117,https://localhackday.mlh.io/
HackCortona II,2017-09-02,2017-09-03,Cortona,Italy,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/703/thumb/Cortonasplash.png?1501510853,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/703/thumb/Cortonaback.png?1501510853,http://hackcortona.com/
HackUPC,2017-10-13,2017-10-15,Barcelona,Spain,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/717/thumb/barcelona-spain-1.jpg?1502208571,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/717/thumb/new-logo.png?1502208571,https://hackupc.com/
HackSheffield,2017-10-14,2017-10-15,Sheffield,"South Yorkshire, UK",https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/740/thumb/sheffieldmlh-background-small.png?1503938493,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/740/thumb/Sheffieldlogo-compact-small.png?1503938493,https://www.hacksheffield.co/
HackBudapest,2017-10-21,2017-10-22,Budapest,Hungary,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/776/thumb/budapest_splash.jpg?1506707836,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/776/thumb/budapest_logo.jpg?1506707836,http://hackbudapest.com/
Do You Have The Guts,2017-10-27,2017-10-29,Glasgow,UK,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/779/thumb/guts_splash.jpg?1506715532,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/779/thumb/guts_logo.png?1506715531,https://gutechsoc.com/
HackNotts,2017-10-28,2017-10-29,Nottingham,UK,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/742/thumb/nottslogosplash.png?1503947867,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/742/thumb/nottslogosmall.png?1503947867,http://2017.hacknotts.com/
Porticode 2.0,2017-10-28,2017-10-29,London,UK,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/775/thumb/porticode_splash.png?1506707536,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/775/thumb/porticode_logo.png?1506707535,https://porticode.io/
AstonHack,2017-11-11,2017-11-12,Birmingham,UK,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/682/thumb/astonhack_splash.png?1500042706,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/682/thumb/astonhack_logo.png?1500042706,https://astonhack.co.uk/
Great Uni Hack,2017-11-11,2017-11-12,Manchester,UK,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/747/thumb/guh_splash.png?1504719649,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/747/thumb/guh_logo.png?1504719649,http://greatunihack.com/
HackSussex,2017-11-11,2017-11-12,Brighton,UK,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/690/thumb/WhatsApp_Image_2017-07-10_at_15.06.42.jpeg?1500054014,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/690/thumb/ident__2_.png?1500054014,http://www.hacksussex.co.uk/
LauzHack,2017-11-11,2017-11-12,Lausanne,Switzerland,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/778/thumb/lauz_splash.png?1506708199,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/778/thumb/lauz_logo.png?1506708199,http://lauzhack.com/
BrumHack,2017-11-18,2017-11-19,Birmingham,UK,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/723/thumb/brumhack_splash.jpg?1502723049,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/723/thumb/brumhack_logo.png?1502723048,https://www.brumhack.co.uk/
Junction,2017-11-24,2017-11-26,Helsinki,Finland,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/772/thumb/junction_splash.jpg?1505933072,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/772/thumb/junction_logo.png?1505933071,https://hackjunction.com/
HackKing's 4.0,2017-11-25,2017-11-26,London,UK,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/785/thumb/kings_splash.jpg?1507734423,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/785/thumb/kings_logo.png?1507734422,http://hackkings.org/
OxfordHack,2017-11-25,2017-11-26,Oxford,UK,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/790/thumb/oxfordSplash.png?1508266596,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/790/thumb/oxfordLogo_%281%29.png?1508266596,http://oxfordhack.com
Local Hack Day,2017-12-02,2017-12-02,Everywhere,Worldwide,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/806/thumb/lhdsplash.png?1510005153,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/806/thumb/lhdlogo.png?1510005152,https://localhackday.mlh.io/
DurHack,2017-12-09,2017-12-10,Durham,UK,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/797/thumb/durhack_background.jpg?1509490523,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/797/thumb/durhack_logo.png?1509490523,http://durhack.com/
Royal Hackaway,2018-01-13,2018-01-14,Egham,UK,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/823/thumb/RHDJMS73BXcAA9bkG.jpg?1511303093,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/823/thumb/RHbadge.png?1511303092,https://royalhackaway.xyz/
Hack Cambridge,2018-01-20,2018-01-21,Cambridge,UK,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/829/thumb/Hack_Cambridge_large.png?1512513709,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/829/thumb/Hack_Cambridge_small.png?1512513709,https://hackcambridge.com/
ExHack,2018-01-26,2018-01-28,Exeter,UK,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/841/thumb/exhacklogomlh-cover-picture.png?1513365795,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/841/thumb/exhacklogomlh-profile-picture.png?1513365795,http://exeterentrepreneurs.com/exhack/
Hack City,2018-02-17,2018-02-18,London,UK,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/827/thumb/Hack_City_Splash.jpg?1512079504,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/827/thumb/Hack_City_Logo.jpg?1512079504,http://www.hackcity.org/
START Hack,2018-02-23,2018-02-25,St. Gallen,Switzerland,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/846/thumb/Splash_START_Hack.jpg?1515012597,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/846/thumb/START_Hack_Logo.png?1515012596,http://starthack.ch/
VHacks,2018-03-08,2018-03-11,Vatican City,Vatican City State,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/842/thumb/vatican_cover_300x300px.jpg?1514067036,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/842/thumb/vatican_hack_logomark_100x100px.png?1514067035,https://vhacks.org/
HEX,2018-03-16,2018-03-18,Eindhoven,Netherlands,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/867/thumb/MLH-visual.png?1516900912,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/867/thumb/hex_gold.png?1516900911,http://joinhex.com/
Copenhacks,2018-04-07,2018-04-08,Kongens Lyngby,Denmark,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/894/thumb/copen-splash.png?1520808453,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/894/thumb/Logo_Copenhacks.jpg?1520808453,http://www.copenhacks.com/
AUHack,2018-04-13,2018-04-15,Aarhus,Denmark,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/868/thumb/auhack300.png?1517363579,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/868/thumb/auhack100.png?1517363579,http://auhack.org
HackDelft,2018-04-28,2018-04-29,Delft,Netherlands,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/906/thumb/bip.png?1522938216,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/906/thumb/27173704_769293663258864_117595083304362923_o_%281%29.png?1522938216,https://hackdelft.nl/
