name,startDate,endDate,city,state,image,icon,website
RGUHack,2017-04-15,2017-04-16,Aberdeen,UK,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/642/thumb/rgu_splash.jpg?1487781503,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/642/thumb/rgu_logo.png?1487781503,https://rguhack.uk/
Hackaburg,2017-04-21,2017-04-23,Regensburg,Germany,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/594/thumb/hackaburg_splash.png?1484768096,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/594/thumb/hackaburg_logo.png?1484768095,http://www.hackaburg.de/
Anvil Hack,2017-04-22,2017-04-23,London,UK,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/646/thumb/anvil_splash.png?1488404102,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/646/thumb/anvil_logo.png?1488404101,http://anvil.hacksmiths.club/
CopenHacks,2017-04-22,2017-04-23,Copenhagen,Denmark,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/626/thumb/copenhacks_splash.png?1486583429,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/626/thumb/copenhacks_logo.png?1486583429,http://copenhacks.com/
HackEssex,2017-04-29,2017-04-30,Colchester,UK,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/669/thumb/hackessex_splash.jpg?1491405999,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/669/thumb/hackessex_logo.jpg?1491405999,http://hackessex.com/
HackMed,2017-04-29,2017-04-30,Sheffield,UK,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/625/thumb/hackmed_splash.png?1486583241,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/625/thumb/hackmed_logo.png?1486583241,http://hackmed.uk/
HackBordeaux,2017-05-06,2017-05-07,Bordeaux,France,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/662/thumb/665891c16fcb-hackbordeaux_splash.jpg?1490376786,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/662/thumb/eefafc379765-hackbordeaux_logo.png?1490376786,http://hackbordeaux.com/
HackDelft,2017-05-13,2017-05-14,Delft,The Netherlands,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/672/thumb/90ee1ea03dfc-HackDelftBackground.jpeg?1492438767,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/672/thumb/c0ec2f4ecded-hackdelft_square_logo.png?1492438767,http://hackdelft.com
DragonHack,2017-05-20,2017-05-21,Ljubljana,Slovenia,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/671/thumb/dragonhack_splash.png?1492093820,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/671/thumb/dragonhack_logo.png?1492093819,http://dragonhack.si/
FMI{codes},2017-05-27,2017-05-28,Sofia,Bulgaria,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/676/thumb/76a4fe1a4ced-splash300x300.jpg?1494263551,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/676/thumb/ed587310e4dc-fmicodes100x100.jpg?1494263551,http://fmicodes.fss.fmi.uni-sofia.bg/
